0,1,2,3,4,5,6,7
ANH,5,Nghiệp vụ An ninh (Địa bàn 1 - Nữ),24.92,Đại học,C03,,2022
ANH,6,Nghiệp vụ An ninh (Địa bàn 2 - Nữ),24.69,Đại học,A00,,2022
ANH,7,Nghiệp vụ An ninh (Địa bàn 3 - Nữ),24.64,Đại học,D01,,2022
ANH,8,Nghiệp vụ An ninh (Địa bàn 2 - Nữ),24.56,Đại học,C03,,2022
ANH,9,Nghiệp vụ An ninh (Địa bàn 1 - Nữ),23.88,Đại học,A00,,2022
ANH,10,Ngành An toàn thông tin (Phía Bắc - Nữ),23.26,Đại học,A01,,2022
ANH,11,Nghiệp vụ An ninh (Địa bàn 2 - Nữ),23.16,Đại học,A01,,2022
ANH,12,Nghiệp vụ An ninh (Địa bàn 2 - Nữ),22.44,Đại học,D01,,2022
ANH,13,Nghiệp vụ An ninh (Địa bàn 2 - Nam),22.39,Đại học,A01,,2022
ANH,14,Nghiệp vụ An ninh (Địa bàn 3 - Nữ),22.13,Đại học,A00,,2022
ANH,15,Ngành An toàn thông tin (Phía Nam - Nữ),22.00,Đại học,A01,,2022
ANH,16,Nghiệp vụ An ninh (Địa bàn 2 - Nam),21.89,Đại học,D01,,2022
ANH,17,Ngành An Toàn Thông Tin (Phía Bắc - Nam),21.88,Đại học,A00,,2022
ANH,18,Ngành An toàn thông tin (Phía Bắc - Nữ),21.85,Đại học,A00,,2022
ANH,19,Ngành An toàn thông tin (Phía Bắc - Nam),21.84,Đại học,A00,,2022
ANH,20,Nghiệp vụ An ninh (Địa bàn 2 - Nam),21.84,Đại học,C03,,2022
ANS,1,Nghiệp vụ An ninh (Địa bàn 5 - Nữ),29.51,Đại học,D01,,2021
ANS,2,Nghiệp vụ An ninh (Địa bàn 7 - Nữ),28.69,Đại học,D01,,2021
ANS,3,Nghiệp vụ An ninh (Địa bàn 5 - Nữ),28.50,Đại học,A00,,2021
ANS,4,Nghiệp vụ An ninh (Địa bàn 7 - Nữ),28.14,Đại học,A01,,2021
ANS,5,Nghiệp vụ An ninh (Địa bàn 5 - Nữ),27.94,Đại học,C03,,2021
ANS,6,Nghiệp vụ An ninh (Địa bàn 5 - Nữ),27.91,Đại học,A01,,2021
ANS,7,Nghiệp vụ An ninh (Địa bàn 7 - Nữ),27.84,Đại học,C03,,2021
ANS,8,Nghiệp vụ An ninh (Địa bàn 4 - Nữ),27.69,Đại học,D01,,2021
ANS,9,Nghiệp vụ An ninh (Địa bàn 4 - Nữ),27.63,Đại học,A01,,2021
ANS,10,Nghiệp vụ An ninh (Địa bàn 7 - Nữ),27.49,Đại học,A00,,2021
ANS,11,Nghiệp vụ An ninh (Địa bàn 4 - Nữ),27.35,Đại học,A00,,2021
ANS,12,Nghiệp vụ An ninh (Địa bàn 6 - Nữ),27.33,Đại học,A01,,2021
ANS,13,Nghiệp vụ An ninh (Địa bàn 4 - Nữ),27.20,Đại học,C03,,2021
ANS,14,Nghiệp vụ An ninh (Địa bàn 7 - Nam),26.94,Đại học,C03,,2021
ANS,15,Nghiệp vụ An ninh (Địa bàn 7 - Nam),26.90,Đại học,A01,,2021
ANS,16,Nghiệp vụ An ninh (Địa bàn 5 - Nam),26.88,Đại học,D01,,2021
ANS,17,Nghiệp vụ An ninh (Địa bàn 6 - Nữ),26.78,Đại học,D01,,2021
ANS,18,Nghiệp vụ An ninh (Địa bàn 5 - Nam),26.53,Đại học,C03,,2021
ANS,19,Nghiệp vụ An ninh (Địa bàn 7 - Nam),26.48,Đại học,D01,,2021
ANS,20,Nghiệp vụ An ninh (Địa bàn 5 - Nam),26.36,Đại học,A01,,2021
ANS,1,Nghiệp vụ An ninh (Địa bàn 4 - Nữ),23.40,Đại học,C03,,2022
ANS,2,Nghiệp vụ An ninh (Địa bàn 5 - Nữ),23.35,Đại học,C03,,2022
ANS,3,Nghiệp vụ An ninh (Địa bàn 7 - Nữ),22.25,Đại học,C03,,2022
ANS,4,Nghiệp vụ An ninh (Địa bàn 6 - Nữ),22.09,Đại học,C03,,2022
ANS,5,Nghiệp vụ An ninh (Địa bàn 7 - Nam),21.60,Đại học,C03,,2022
ANS,6,Nghiệp vụ An ninh (Địa bàn 4 - Nam),20.59,Đại học,C03,,2022
ANS,7,Nghiệp vụ An ninh (Địa bàn 5 - Nam),19.97,Đại học,C03,,2022
ANS,8,Nghiệp vụ An ninh (Địa bàn 8 - Nam),19.87,Đại học,C03,,2022
ANS,9,Nghiệp vụ An ninh (Địa bàn 6 - Nam),18.81,Đại học,C03,,2022
BKA,1,Khoa học Máy tính,28.25,Đại học,"A00,A01",,2017
BKA,2,Kỹ thuật Máy tính,28.25,Đại học,"A00,A01",,2017
BKA,3,Kỹ thuật Điều khiển - Tự động hóa,27.25,Đại học,"A00,A01",,2017
BKA,4,Kỹ thuật Điện,27.25,Đại học,"A00,A01",,2017
BKA,5,Kỹ thuật Cơ điện tử,27.00,Đại học,"A00,A01",,2017
BKA,6,Công nghệ thông tin Việt-Nhật,26.75,Đại học,"A00,A01,D28",,2017
BKA,7,Công nghệ thông tin ICT,26.75,Đại học,"A00,A01",,2017
BKA,8,Chương trình tiên tiến Điều khiển - Tự động hóa và Hệ thống điện,26.25,Đại học,"A00,A01",,2017
BKA,9,Kỹ thuật Điện tử - Viễn thông,26.25,Đại học,"A00,A01",,2017
BKA,10,Hệ thống thông tin quản lý,25.75,Đại học,"A00,A01",,2017
BKA,11,Kỹ thuật Ô tô,25.75,Đại học,"A00,A01",,2017
BKA,12,Kỹ thuật Hàng không,25.75,Đại học,"A00,A01",,2017
BKA,13,Kỹ thuật Cơ khí,25.75,Đại học,"A00,A01",,2017
BKA,14,Kỹ thuật Cơ khí động lực,25.75,Đại học,"A00,A01",,2017
BKA,15,Toán-Tin,25.75,Đại học,"A00,A01",,2017
BKA,16,Chương trình tiên tiến Điện tử - Viễn thông,25.50,Đại học,"A00,A01",,2017
BKA,17,Chương trình tiên tiến Cơ điện tử,25.50,Đại học,"A00,A01",,2017
BKA,18,Chương trình tiên tiến Kỹ thuật Y sinh,25.25,Đại học,"A00,A01",,2017
BKA,19,Hóa học,25.00,Đại học,"A00,B00,D07",,2017
BKA,20,Kỹ thuật Hóa học,25.00,Đại học,"A00,B00,D07",,2017
BKA,1,Khoa học Máy tính,25.00,Đại học,"A00,A01",,2018
BKA,2,Công nghệ thông tin ICT,24.00,Đại học,"A00,A01",,2018
BKA,3,Kỹ thuật Điều khiển - Tự động hóa,23.90,Đại học,"A00,A01",,2018
BKA,4,Kỹ thuật Máy tính,23.50,Đại học,"A00,A01",,2018
BKA,5,Kỹ thuật Cơ điện tử,23.25,Đại học,"A00,A01",,2018
BKA,6,Công nghệ thông tin Việt-Nhật,23.10,Đại học,"A00,A01,D28",,2018
BKA,7,Chương trình tiên tiến Điều khiển - Tự động hóa và Hệ thống điện,23.00,Đại học,"A00,A01",,2018
BKA,8,Kỹ thuật Ô tô,22.60,Đại học,"A00,A01",,2018
BKA,9,Toán-Tin,22.30,Đại học,"A00,A01",,2018
BKA,10,Kỹ thuật Cơ khí động lực,22.20,Đại học,"A00,A01",,2018
BKA,11,Kỹ thuật Hàng không,22.00,Đại học,"A00,A01",,2018
BKA,12,Kỹ thuật Điện tử - Viễn thông,22.00,Đại học,"A00,A01",,2018
BKA,13,Chương trình tiên tiến Kỹ thuật Y sinh,21.70,Đại học,"A00,A01",,2018
BKA,14,Chương trình tiên tiến Điện tử - Viễn thông,21.70,Đại học,"A00,A01",,2018
BKA,15,Kỹ thuật Thực phẩm,21.70,Đại học,"A00,B00",,2018
BKA,16,Hệ thống thông tin quản lý,21.60,Đại học,"A00,A01",,2018
BKA,17,Chương trình tiên tiến Cơ điện tử,21.55,Đại học,"A00,A01",,2018
BKA,18,Chương trình tiên tiến Kỹ thuật Ô tô,21.35,Đại học,"A00,A01",,2018
BKA,19,Kỹ thuật Cơ khí,21.30,Đại học,"A00,A01",,2018
BKA,20,Kỹ thuật Sinh học,21.10,Đại học,"A00,B00",,2018
BKA,1,Khoa học Máy tính,27.42,Đại học,"A00,A01",,2019
BKA,2,Chương trình tiên tiến Khoa học dữ liệu và Trí tuệ nhân tạo,27.00,Đại học,"A00,A01",,2019
BKA,3,Kỹ thuật Máy tính,26.85,Đại học,"A00,A01",,2019
BKA,4,Kỹ thuật Điều khiển - Tự động hóa,26.05,Đại học,"A00,A01",,2019
BKA,5,Công nghệ thông tin ICT,26.00,Đại học,"A00,A01",,2019
BKA,6,Công nghệ thông tin Việt-Nhật,25.70,Đại học,"A00,A01,D28",,2019
BKA,7,Kỹ thuật Cơ điện tử,25.40,Đại học,"A00,A01",,2019
BKA,8,Chương trình tiên tiến Điều khiển - Tự động hóa và Hệ thống điện,25.20,Đại học,"A00,A01",,2019
BKA,9,Toán-Tin,25.20,Đại học,"A00,A01",,2019
BKA,10,Kỹ thuật Ô tô,25.05,Đại học,"A00,A01",,2019
BKA,11,Chương trình tiên tiến Hệ thống nhúng thông minh và IoT,24.95,Đại học,"A00,A01,D28",,2019
BKA,12,Hệ thống thông tin quản lý,24.80,Đại học,"A00,A01",,2019
BKA,13,Kỹ thuật Điện tử - Viễn thông,24.80,Đại học,"A00,A01",,2019
BKA,14,Kỹ thuật Hàng không,24.70,Đại học,"A00,A01",,2019
BKA,15,Chương trình tiên tiến Điện tử - Viễn thông,24.60,Đại học,"A00,A01",,2019
BKA,16,Kỹ thuật Điện,24.28,Đại học,"A00,A01",,2019
BKA,17,Chương trình tiên tiến Kỹ thuật Ô tô,24.23,Đại học,"A00,A01",,2019
BKA,18,Chương trình tiên tiến Kỹ thuật Y sinh,24.10,Đại học,"A00,A01",,2019
BKA,19,Chương trình tiên tiến Cơ điện tử,24.06,Đại học,"A00,A01",,2019
BKA,20,Kỹ thuật Thực phẩm,24.00,Đại học,"A00,B00",,2019
BKA,1,Khoa học Máy tính,29.04,Đại học,"A00,A01",,2020
BKA,2,Chương trình tiên tiến Khoa học dữ liệu và Trí tuệ nhân tạo,28.65,Đại học,"A00,A01",,2020
BKA,3,Kỹ thuật Máy tính,28.65,Đại học,"A00,A01",,2020
BKA,4,Công nghệ thông tin ICT,28.38,Đại học,"A00,A01",,2020
BKA,5,Công nghệ thông tin Việt-Nhật,27.98,Đại học,"A00,A01,D28",,2020
BKA,6,Toán-Tin,27.56,Đại học,"A00,A01",,2020
BKA,7,Chương trình tiên tiến Hệ thống nhúng thông minh và IoT,27.51,Đại học,"A00,A01,D28",,2020
BKA,8,Kỹ thuật Cơ điện tử,27.48,Đại học,"A00,A01",,2020
BKA,9,Chương trình tiên tiến Điều khiển - Tự động hóa và Hệ thống điện,27.43,Đại học,"A00,A01",,2020
BKA,10,Kỹ thuật Ô tô,27.33,Đại học,"A00,A01",,2020
BKA,11,Kỹ thuật Điện tử - Viễn thông,27.30,Đại học,"A00,A01",,2020
BKA,12,Hệ thống thông tin quản lý,27.25,Đại học,"A00,A01",,2020
BKA,13,Công nghệ thông tin (Việt - Pháp),27.24,Đại học,"A00,A01,D29",,2020
BKA,14,Chương trình tiên tiến Điện tử - Viễn thông,27.15,Đại học,"A00,A01",,2020
BKA,15,Kỹ thuật Điện,27.01,Đại học,"A00,A01",,2020
BKA,16,Kỹ thuật Hàng không,26.94,Đại học,"A00,A01",,2020
BKA,17,Chương trình tiên tiến Kỹ thuật Ô tô,26.75,Đại học,"A00,A01",,2020
BKA,18,Chương trình tiên tiến Cơ điện tử,26.75,Đại học,"A00,A01",,2020
BKA,19,Kỹ thuật Thực phẩm,26.60,Đại học,"A00,B00",,2020
BKA,20,Kỹ thuật Cơ khí,26.51,Đại học,"A00,A01",,2020
BKA,1,Khoa học Máy tính,28.43,Đại học,"A00,A01",,2021
BKA,2,Kỹ thuật Máy tính,28.10,Đại học,"A00,A01",,2021
BKA,3,Chương trình tiên tiến Khoa học dữ liệu và Trí tuệ nhân tạo,28.04,Đại học,"A00,A01",,2021
BKA,4,Công nghệ thông tin ICT,27.85,Đại học,"A00,A01",,2021
BKA,5,Kỹ thuật Điều khiển - Tự động hóa,27.46,Đại học,"A00,A01",,2021
BKA,6,An toàn không gian số - Cyber Security (CT tiên tiến),27.44,Đại học,"A00,A01",,2021
BKA,7,Công nghệ thông tin Việt-Nhật,27.40,Đại học,"A00,A01,D28",,2021
BKA,8,Chương trình tiên tiến Điều khiển - Tự động hóa và Hệ thống điện,27.26,Đại học,"A00,A01",,2021
BKA,9,Công nghệ thông tin (Việt - Pháp),27.19,Đại học,"A00,A01,D29",,2021
BKA,10,Hệ thống thông tin quản lý,27.00,Đại học,"A00,A01",,2021
BKA,11,Toán-Tin,27.00,Đại học,"A00,A01",,2021
BKA,12,Kỹ thuật Ô tô,26.94,Đại học,"A00,A01",,2021
BKA,13,Chương trình tiên tiến Hệ thống nhúng thông minh và IoT,26.93,Đại học,"A00,A01,D28",,2021
BKA,14,Kỹ thuật Cơ điện tử,26.91,Đại học,"A00,A01",,2021
BKA,15,Kỹ thuật Điện tử - Viễn thông,26.80,Đại học,"A00,A01",,2021
BKA,16,Chương trình tiên tiến Điện tử - Viễn thông,26.59,Đại học,"A00,A01",,2021
BKA,17,Truyền thông số và Kỹ thuật đa phương tiện (CT tiên tiến),26.59,Đại học,"A00,A01",,2021
BKA,18,Kỹ thuật Điện,26.50,Đại học,"A00,A01",,2021
BKA,19,Kỹ thuật Hàng không,26.48,Đại học,"A00,A01",,2021
BKA,20,Chương trình tiên tiến Kỹ thuật Hóa dược,26.40,Đại học,"A00,B00,D07",,2021
BKA,1,Kỹ thuật Máy tính,28.29,Đại học,"A00,A01",THPT,2022
BKA,2,Khoa Học Máy Tính,28.29,Đại học,"A00,A01",,2022
BKA,3,Kỹ thuật Điều kiển - Tự động hóa,27.61,Đại học,"A00,A01",THPT,2022
BKA,4,Kỹ Thuật Điều Khiển - Tự Động Hóa,27.61,Đại học,"A00,A01",,2022
BKA,5,Công nghệ thông tin (Việt - Nhật),27.25,Đại học,"A00,A01,D28",THPT,2022
BKA,6,Kỹ Thuật Máy Tính,27.25,Đại học,"A00,A01",,2022
BKA,7,Hệ thống thông tin quản lý,26.54,Đại học,"A00,A01",THPT,2022
BKA,8,Hệ Thống Thông Tin Quản Lý,26.54,Đại học,"A00,A01",,2022
BKA,9,Toán - Tin,26.45,Đại học,"A00,A01",THPT,2022
BKA,10,Toán-Tin,26.45,Đại học,"A00,A01",,2022
BKA,11,Kỹ thuật Ô tô,26.41,Đại học,"A00,A01",THPT,2022
BKA,12,Kỹ thuật Ô tô,26.41,Đại học,"A00,A01",,2022
BKA,13,Kỹ thuật Cơ điện tử,26.33,Đại học,"A00,A01",THPT,2022
BKA,14,Kỹ thuật Cơ điện tử,26.33,Đại học,"A00,A01",,2022
BKA,15,Chương trình tiên tiến Kỹ thuật Điều khiển - Tự động hóa và Hệ thống điện,25.99,Đại học,"A00,A01",THPT,2022
BKA,16,Chương trình tiên tiến Điều khiển - Tự động hóa và Hệ thống điện,25.99,Đại học,"A00,A01",,2022
BKA,17,Quản trị kinh doanh,25.35,Đại học,"A00,A01,D01",THPT,2022
BKA,18,Quản trị kinh doanh,25.35,Đại học,"A00,A01,D01",,2022
BKA,19,Kế toán,25.20,Đại học,"A00,A01,D01",THPT,2022
BKA,20,Tài chính - Ngân hàng,25.20,Đại học,"A00,A01,D01",THPT,2022
BMU,1,Y khoa,20.00,Đại học,"A02,B00,B08",,2016
BMU,2,Y khoa,20.00,Đại học,"A02,B00,D08",,2016
BMU,1,Y khoa,21.50,Đại học,"A02,B00,B08",,2017
BMU,2,Y khoa,21.50,Đại học,"A02,B00,D08",,2017
BMU,3,Dược học,19.00,Đại học,"A00,B00,D07",,2017
BMU,1,Y khoa,18.50,Đại học,"A02,B00,B08",,2018
BMU,2,Y khoa,18.50,Đại học,"A02,B00,D08",,2018
BMU,3,Dược học,16.00,Đại học,"A00,B00,D07",,2018
BMU,1,Y khoa,21.00,Đại học,"A02,B00,B08",,2019
BMU,2,Y khoa,21.00,Đại học,"A02,B00,D08",,2019
BMU,3,Dược học,20.00,Đại học,"A00,B00,D07",,2019
BMU,1,Y khoa,23.00,Đại học,"A02,B00,B08",,2020
BMU,2,Y khoa,23.00,Đại học,"A02,B00,D08",,2020
BMU,3,Dược học,21.00,Đại học,"A00,B00,D07",,2020
BMU,4,Điều dưỡng,19.00,Đại học,"A02,B00,B08",,2020
BMU,5,Điều dưỡng,19.00,Đại học,"A02,B00,D08",,2020
BMU,1,Y khoa,24.00,Đại học,"A02,B00,B08",,2021
BMU,2,Y khoa,24.00,Đại học,"A02,B00,D08",,2021
BMU,3,Dược học,21.00,Đại học,"A00,B00,D07",,2021
BMU,4,Điều dưỡng,19.00,Đại học,"A02,B00,B08",,2021
BMU,5,Y tế công cộng,19.00,Đại học,"A02,B00,B08",,2021
BMU,6,Điều dưỡng,19.00,Đại học,"A02,B00,D08",,2021
BMU,7,Y tế công cộng,19.00,Đại học,"A02,B00,D08",,2021
BMU,1,Y khoa,23.00,Đại học,"A02,B00,B08",,2022
BMU,2,Dược học,21.00,Đại học,"A00,B00,D07",,2022
BMU,3,Điều dưỡng,19.00,Đại học,"A02,B00,B08",,2022
BMU,4,Y tế công cộng,16.00,Đại học,"A02,B00,B08",,2022
BPH,1,Biên phòng (Nam - Miền Bắc),28.50,Đại học,C00,,2020
BPH,2,Biên phòng (Nam - Miền Bắc),24.70,Đại học,A01,,2020
BPH,1,Biên phòng (Nam - Miền Bắc),28.50,Đại học,C00,,2021
BPH,2,Biên phòng (Nam - quân khu 5),27.50,Đại học,C00,,2021
BPH,3,Biên phòng (Nam - quân khu 4),27.25,Đại học,C00,,2021
BPH,4,Luật (Nam - Phía Bắc),27.25,Đại học,C00,,2021
BPH,5,Biên phòng (Nam - quân khu 7),27.00,Đại học,C00,,2021
BPH,6,Biên phòng (Nam - Miền Bắc),26.35,Đại học,A01,,2021
BPH,7,Biên phòng (Nam - quân khu 9),26.25,Đại học,C00,,2021
BPH,8,Luật (Nam - Phía Nam),26.25,Đại học,C00,,2021
BPH,9,Biên phòng (Nam - quân khu 7),25.00,Đại học,A01,,2021
BPH,10,Biên phòng (Nam - quân khu 9),24.85,Đại học,A01,,2021
BPH,11,Biên phòng (Nam - quân khu 5),24.50,Đại học,A01,,2021
BPH,12,Biên phòng (Nam - quân khu 4),24.15,Đại học,A01,,2021
BPH,1,Biên phòng (Nam - Miền Bắc),28.75,Đại học,C00,,2022
BPH,2,Luật (Nam - Phía Bắc),28.25,Đại học,C00,,2022
BPH,3,Biên phòng (Nam - quân khu 4),28.00,Đại học,C00,,2022
BPH,4,Biên phòng (Nam - quân khu 9),26.75,Đại học,C00,,2022
BPH,5,Luật (Nam - Phía Nam),26.75,Đại học,C00,,2022
BPH,6,Biên phòng (Nam - quân khu 4),26.70,Đại học,A01,,2022
BPH,7,Biên phòng (Nam - quân khu 5),25.75,Đại học,C00,,2022
BPH,8,Biên phòng (Nam - quân khu 7),25.75,Đại học,C00,,2022
BPH,9,Biên phòng (Nam - quân khu 9),24.50,Đại học,A01,,2022
BPH,10,Biên phòng (Nam - quân khu 5),24.00,Đại học,A01,,2022
BPH,11,Biên phòng (Nam - quân khu 7),23.50,Đại học,A01,,2022
BPH,12,Biên phòng (Nam - Miền Bắc),19.80,Đại học,A01,,2022
BVH,1,Công nghệ thông tin,23.75,Đại học,"A00,A01",,2016
BVH,2,Truyền thông đa phương tiện,22.25,Đại học,"A00,A01,D01",,2016
BVH,3,Ngành Kỹ thuật điện tử truyền thông,22.00,Đại học,"A00,A01",,2016
BVH,4,"Công nghệ kỹ thuật điện, điện tử",21.75,Đại học,"A00,A01",,2016
BVH,5,Marketing (dạy bằng tiếng Anh),21.50,Đại học,"A00,A01,D01",,2016
BVH,6,Kế toán,21.25,Đại học,"A00,A01,D01",,2016
BVH,7,Quản trị doanh nghiệp,21.00,Đại học,"A00,A01,D01",,2016
BVH,1,Công nghệ thông tin,25.00,Đại học,"A00,A01",,2017
BVH,2,An toàn thông tin,24.00,Đại học,"A00,A01",,2017
BVH,3,Truyền thông đa phương tiện,23.75,Đại học,"A00,A01,D01",,2017
BVH,4,Công nghệ đa phương tiện,23.25,Đại học,"A00,A01,D01",,2017
BVH,5,Marketing (dạy bằng tiếng Anh),22.50,Đại học,"A00,A01,D01",,2017
BVH,6,Ngành Kỹ thuật điện tử truyền thông,22.50,Đại học,"A00,A01",,2017
BVH,7,"Công nghệ kỹ thuật điện, điện tử",21.75,Đại học,"A00,A01",,2017
BVH,8,Kế toán,21.50,Đại học,"A00,A01,D01",,2017
BVH,9,Quản trị doanh nghiệp,21.50,Đại học,"A00,A01,D01",,2017
BVH,1,Công nghệ thông tin,22.00,Đại học,"A00,A01",,2018
BVH,2,Truyền thông đa phương tiện,20.90,Đại học,"A00,A01,D01",,2018
BVH,3,An toàn thông tin,20.80,Đại học,"A00,A01",,2018
BVH,4,Công nghệ đa phương tiện,20.75,Đại học,"A00,A01,D01",,2018
BVH,5,Marketing (dạy bằng tiếng Anh),20.30,Đại học,"A00,A01,D01",,2018
BVH,6,Thương mại điện tử,20.05,Đại học,"A00,A01,D01",,2018
BVH,7,Kế toán,19.65,Đại học,"A00,A01,D01",,2018
BVH,8,Quản trị doanh nghiệp,19.65,Đại học,"A00,A01,D01",,2018
BVH,9,Ngành Kỹ thuật điện tử truyền thông,19.10,Đại học,"A00,A01",,2018
BVH,10,"Công nghệ kỹ thuật điện, điện tử",19.05,Đại học,"A00,A01",,2018
BVH,1,Công nghệ thông tin,24.10,Đại học,"A00,A01",,2019
BVH,2,An toàn thông tin,23.35,Đại học,"A00,A01",,2019
BVH,3,Truyền thông đa phương tiện,22.70,Đại học,"A00,A01,D01",,2019
BVH,4,Công nghệ đa phương tiện,22.55,Đại học,"A00,A01,D01",,2019
BVH,5,Thương mại điện tử,22.45,Đại học,"A00,A01,D01",,2019
BVH,6,Marketing (dạy bằng tiếng Anh),22.35,Đại học,"A00,A01,D01",,2019
BVH,7,Ngành Kỹ thuật điện tử truyền thông,21.95,Đại học,"A00,A01",,2019
BVH,8,Quản trị doanh nghiệp,21.65,Đại học,"A00,A01,D01",,2019
BVH,9,Kế toán,21.35,Đại học,"A00,A01,D01",,2019
BVH,10,"Công nghệ kỹ thuật điện, điện tử",21.05,Đại học,"A00,A01",,2019
BVH,1,Công nghệ thông tin,26.65,Đại học,"A00,A01",,2020
BVH,2,An toàn thông tin,26.25,Đại học,"A00,A01",,2020
BVH,3,Công nghệ đa phương tiện,25.75,Đại học,"A00,A01,D01",,2020
BVH,4,Thương mại điện tử,25.70,Đại học,"A00,A01,D01",,2020
BVH,5,Truyền thông đa phương tiện,25.60,Đại học,"A00,A01,D01",,2020
BVH,6,Marketing (dạy bằng tiếng Anh),25.50,Đại học,"A00,A01,D01",,2020
BVH,7,Ngành Kỹ thuật điện tử truyền thông,25.25,Đại học,"A00,A01",,2020
BVH,8,"Công nghệ kỹ thuật điện, điện tử",24.75,Đại học,"A00,A01",,2020
BVH,9,Quản trị doanh nghiệp,24.60,Đại học,"A00,A01,D01",,2020
BVH,10,Kế toán,24.35,Đại học,"A00,A01,D01",,2020
BVH,1,Công nghệ thông tin,26.90,Đại học,"A00,A01",,2021
BVH,2,An toàn thông tin,26.55,Đại học,"A00,A01",,2021
BVH,3,Truyền thông đa phương tiện,26.55,Đại học,"A00,A01,D01",,2021
BVH,4,Thương mại điện tử,26.50,Đại học,"A00,A01,D01",,2021
BVH,5,Marketing (dạy bằng tiếng Anh),26.45,Đại học,"A00,A01,D01",,2021
BVH,6,Công nghệ đa phương tiện,26.35,Đại học,"A00,A01,D01",,2021
BVH,7,Quản trị doanh nghiệp,25.90,Đại học,"A00,A01,D01",,2021
BVH,8,Công nghệ tài chính,25.90,Đại học,"A00,A01,D01",TTNV <=9,2021
BVH,9,Kế toán,25.75,Đại học,"A00,A01,D01",,2021
BVH,10,Ngành Kỹ thuật điện tử truyền thông,25.65,Đại học,"A00,A01",,2021
BVH,11,"Công nghệ kỹ thuật điện, điện tử",25.35,Đại học,"A00,A01",,2021
BVH,1,Công nghệ thông tin,27.25,Đại học,"A00,A01",,2022
BVH,2,Khoa học máy tính,26.90,Đại học,"A00,A01",,2022
BVH,3,An toàn thông tin,26.70,Đại học,"A00,A01",,2022
BVH,4,Công nghệ đa phương tiện,26.45,Đại học,"A00,A01,D01",,2022
BVH,5,Thương mại điện tử,26.35,Đại học,"A00,A01,D01",,2022
BVH,6,Truyền thông đa phương tiện,26.20,Đại học,"A00,A01,D01",,2022
